Storyline Quest: The Ticket,,,,,
Step,Map/Trader/Hideout Module,Time Gate,Required Items,Items to Obtain,Notes
Obtain Intelligence Center level 1,Intelligence Center,,,,
Talk to Mr. Kerman,Intelligence Center,,,,
Wait for Mr. Kerman to reach out,Intelligence Center,12 hours,,,
Talk to Prapor,Prapor,,,,
Talk to Mr. Kerman,Intelligence Center,,,,
Unlock the armored case,Workbench,,,,
"Obtain the ""Ticket""",,,,,
Ask Mechanic for help,Mechanic,,,,
Obtain the Experimental signal jammer,Labs,,TerraGroup Labs access keycard, Experimental signal jammer,
(Optional) Gain access to The Lab,,,,,
(Optional) Obtain the TerraGroup Labs access keycard,,,,,
Use the Experimental signal jammer to unlock the case,Workbench,,"Experimental signal jammer, Armored case",,
Read the instructions from the armored case,,,,"Kruglov's RFID keycard, RFID caard manual",
Contact Mr. Kerman,Intelligence Center,,,,
Accept Mr. Kerman's offer,Intelligence Center,,,,You MUST accept Mr. Kerman's offer to continue the savior path
Activate the RFID card from the case,,,,,
(Optional) Obtain Solar Power level 1,Solar Power,,,,
(Optional) Obtain a Blank RFID keycard,,,,,
Obtain the Laboratory master pass,Labs,,"TerraGroup Labs access keycard, TerraGroup Labs keycard (Black)",TerraGroup Labs master keycard,
(Optional) Gain access to The Lab,Labs,,,,
Obtain an RFID card encryption device,Labs,,,,"Scripted to fail. Survive a total of 30 minutes on Labs (doesn't need to be the same raid). Once the objective fails, Mr. Kerman will contact you."
Talk to Mr. Kerman,Intelligence Center,,,,
Talk to Mechanic,Mechanic,,,,
Wait for a response from Mechanic,Mechanic,12 - 24 hours,,,
Hand over 40 Physical Bitcoins to Mechanic,Mechanic,,40 Physical Bitcoins,Elektronik's key,
(Optional) Obtain Bitcoin Farm level 1,Bitcoin Farm ,,,,
(Optional) Obtain 40 Physical Bitcoins to pay for Elektronik's services,,,,,
Collect the RFID card encryption device to activate Kruglov's keycard,Streets of Tarkov,,,RFID keycard encryption device,
(Optional) Gain access to Streets of Tarkov,Streets of Tarkov,,,,
(Optional) Access Kruglov's apartment on Streets of Tarkov,Streets of Tarkov,,,,
Use the Laboratory master pass to activate Kruglov's keycard,Intelligence Center,,,,
Arrive at the entrance pathway to the port Terminal,Shoreline,,Activated Kruglov's RFID keycard,,
Swipe the keycard at the intercom reader,Shoreline,,,,
Talk to Mr. Kerman,Intelligence Center,,,,You MUST say yes to helping Mr. Kerman
Agree to find dirt on TerraGroup for Mr. Kerman,Intelligence Center,,,,
Obtain Intelligence Center level 3,Intelligence Center,,,,
Obtain Folder with intelligence on Norvinsk region facilities,Labs,,"TerraGroup Labs access keycard, TerraGroup Labs keycard (Black)",,
Obtain Transcript of conversation with Ms. A.,Streets of Tarkov,,Cardinal apartment key,,
Deliver the 8 major TerraGroup evidence to Mr. Kerman,Intelligence Center,,,,Complete other storyline quests to obtain and hand in all evidence
(Optional) Deliver the 32 minor TerraGroup evidence to Mr. Kerman,Intelligence Center,,,,Complete other storyline quests to obtain and hand in all evidence
Negotiate with Mr. Kerman,Intelligence Center,,,,
Confirm with Mr. Kerman that all the evidence has been delivered,Intelligence Center,,,,
Wait for Mr. Kerman's trusted contact to get in touch,,24-48 hours,,,
Talk to Fence,Fence,,,,
Complete Fence's assignments,Fence,,,,
Keep the standing with Fence above 4.0,Fence,,,,
Extract through the Friendship Bridge (Co-Op) on Woods,Woods,,,,
Extract through the Scav Lands (Co-Op) on Reserve,Reserve,,,,
Reach 0.4 standing with BTR Driver,BTR Driver,,,,
Arrive at the entrance pathway to the port Terminal,Shoreline,,,,
(Optional) Bring the Reprogrammed RFID keycard with Mr. Kerman's hash codes,Shoreline,,,,
Swipe the keycard at the intercom reader,Shoreline,,,,
Access the port Terminal,Shoreline,,,,
(Optional) Bring the Secure container Alpha-1 with TerraGroup evidence,Shoreline,,,,
Pass the security check,Terminal,,,,
Escape from Tarkov,Terminal,,,,
(Optional) Locate the armory with the confiscated equipment,Terminal,,Armory key,,
(Optional) Retrieve the Secure container Alpha-1,Terminal,,,,
(Optional) Obtain the keycard to unlock the service passage,Terminal,,,,
(Optional) Locate the exit leading to the Terminal loading zone,Terminal,,,,
(Optional) Unlock the service passage inside the seaport building,Terminal,,,,
(Optional) Access the Terminal loading zone,Terminal,,Black Division keycard,,
(Optional) Locate the way into the fuel depot,Terminal,,SZ-1 explosive charge,,Only need the SZ-1 explosive charge if you are alone and your strength isn't at elite level
(Optional) Figure out how to restore power to the pumping station,Terminal,,,,
(Optional) Obtain the diagram of the electrical panels,Terminal,,,,
(Optional) Drain the water in the pumping station,Terminal,,Toolset,,
(Optional) Obtain the key to the gate blocking the road to the pier,Terminal,,Pier door key,,
(Optional) Locate the exit leading to the pier,Terminal,,,,
(Optional) Reach the evacuation area at the pier,Terminal,,,,